,USD_vs_Curr1,USD_vs_Curr2,USD_vs_Curr3,USD_vs_Curr4,USD_vs_Curr5,USD_vs_Curr6,USD_vs_Curr7,OT,timestamp_idx
0,0.6067845,-0.36167145,0.73536664,-1.1643735,2.8518898,-1.8613688,-1.8200475,-0.12408117,0
1,0.5708996,-0.36763906,0.7296295,-1.170907,2.8518898,-1.8386652,-1.8472581,-0.11358807,1
2,0.61842304,-0.25245583,0.72891444,-1.0274683,2.8518898,-1.736953,-1.8051305,-0.078960285,2
3,0.6116341,-0.20650207,0.73895055,-1.0072845,2.8518898,-1.7569319,-1.849738,-0.08210815,3
4,0.6009656,-0.1110131,0.7382355,-0.95337224,2.8518898,-1.7687377,-1.7851807,-0.06636819,4
5,0.61745304,-0.106835485,0.72891444,-0.9665253,2.8518898,-1.8168696,-1.8076285,-0.0086558275,5
6,0.6368506,-0.057301003,0.74685186,-0.9064712,2.8518898,-1.8186859,-1.7826825,0.022824097,6
7,0.66012704,-0.08833431,0.76053864,-0.9210685,2.8518898,-1.8250427,-1.7826825,0.037514564,7
8,0.68825305,-0.012540334,0.75982356,-0.83029914,2.8518898,-1.8250427,-1.7726536,0.07004398,8
9,0.64460903,-0.087141216,0.7032116,-0.9231542,2.8518898,-1.8286754,-1.7726536,0.04381092,9
10,0.6669161,-0.13190117,0.7103403,-0.8821264,2.8518898,-1.8295838,-1.7500451,0.07529022,10
11,0.6901925,-0.16174139,0.6586157,-0.93145686,2.8518898,-1.8559198,-1.7550766,0.09627705,11
12,0.68437356,-0.14980544,0.6047563,-0.9148224,2.8518898,-1.8359406,-1.6892263,0.060599755,12
13,0.70280105,-0.1945654,0.5770638,-0.9869668,2.8518898,-1.8695419,-1.7019688,0.07319185,13
14,0.50591916,-0.13488498,0.6117111,-0.8875982,2.8518898,-1.8550115,-1.7146565,0.0039362675,14
15,0.3808072,-0.09907716,0.55984145,-0.83885103,2.8518898,-1.8223186,-1.6841218,-0.13982113,15
16,0.3429827,-0.08594741,0.525619,-0.80233836,2.8518898,-1.7832682,-1.691778,-0.10834121,16
17,0.3643197,-0.087141216,0.5025144,-0.84525055,2.8518898,-1.7360446,-1.6636515,-0.12617955,17
18,0.39341515,0.038187955,0.539277,-0.79368156,2.8518898,-1.7260553,-1.6482481,-0.10309435,18
19,0.41766164,0.06086674,0.52494305,-0.8152714,2.8518898,-1.7687377,-1.6095002,-0.08210815,19
20,0.44190812,0.046543185,0.5577838,-0.87072426,2.8518898,-1.7887172,-1.6224397,-0.029642027,20
21,0.45839617,0.05907603,0.55365926,-0.84610176,2.8518898,-1.8041555,-1.6276159,-0.068467185,21
22,0.4904017,0.060269836,0.53790563,-0.840984,2.8518898,-1.8241348,-1.6405201,-0.04748036,22
23,0.41281268,0.13964523,0.5297147,-0.7684661,2.8518898,-1.8250427,-1.632774,-0.052727222,23
24,0.42251116,0.18142138,0.5433825,-0.7540222,2.8518898,-1.8141453,-1.5861,-0.040135127,24
25,0.3352237,0.16351712,0.505229,-0.774129,2.8518898,-1.8286754,-1.5991124,-0.11778544,25
26,0.3061277,0.09190076,0.48088777,-0.8315809,2.8518898,-1.8250427,-1.6172645,-0.13982113,26
27,0.25569525,0.12472477,0.49101022,-0.840984,2.8518898,-1.8168696,-1.6250278,-0.12408117,27
28,0.28285122,0.13964523,0.44532272,-0.8358571,2.8518898,-1.7732787,-1.6198516,-0.12827854,28
29,0.28285122,0.112788826,0.46206203,-0.840984,2.8518898,-1.7823603,-1.632774,-0.12932803,29
30,0.22078025,0.14561285,0.41603655,-0.8208578,2.8518898,-1.7769114,-1.6198516,-0.24475339,30
31,0.26248425,0.12770858,0.421339,-0.83457536,2.8518898,-1.7823603,-1.6276159,-0.20802723,31
32,0.3274647,0.14262904,0.46809912,-0.8260138,2.8518898,-1.7714623,-1.6482481,-0.17339943,32
33,0.35462123,0.19335732,0.4479987,-0.78934836,2.8518898,-1.8277674,-1.6017176,-0.15765947,33
34,0.3458922,0.25900608,0.45268282,-0.7443608,2.8518898,-1.8223186,-1.6068939,-0.16920207,34
35,0.40408367,0.25721535,0.49844804,-0.7346703,2.8518898,-1.8468384,-1.6224397,-0.15870896,35
36,0.4099032,0.22916587,0.48156366,-0.7544618,2.8518898,-1.8904291,-1.632774,-0.1534621,36
37,0.40796316,0.12770858,0.47483167,-0.7980148,2.8518898,-1.9703461,-1.6276159,-0.17444894,37
38,0.3643197,0.12174096,0.49641976,-0.7819733,2.8518898,-1.9612645,-1.6302041,-0.17969517,38
39,0.36044022,0.1050305,0.5133715,-0.81742376,2.8518898,-1.9685297,-1.6379321,-0.1765473,39
40,0.39341515,-0.039396737,0.52766687,-0.87917066,2.8518898,-2.0039475,-1.6790174,-0.18494204,40
41,0.35559067,-0.12294904,0.5018385,-0.9106516,2.8518898,-2.0284672,-1.6790174,-0.17234994,41
42,0.34492218,-0.1957592,0.52494305,-0.85376424,2.8518898,-2.008488,-1.6662214,-0.17864567,42
43,0.37013867,-0.13488498,0.5495445,-0.85164034,2.8518898,-2.008488,-1.668773,-0.16500472,43
44,0.35559067,-0.1945654,0.562594,-0.8821264,2.8518898,-2.0657012,-1.6764475,-0.16710308,44
45,0.3662592,-0.17367733,0.6012887,-0.8930604,2.8518898,-2.0502625,-1.6738957,-0.17759681,45
46,0.3662592,-0.31929767,0.60267967,-0.90563935,2.8518898,-2.070242,-1.6662214,-0.14821586,46
47,0.34007323,-0.36584905,0.6047563,-0.95378333,2.8518898,-2.1111083,-1.6738957,-0.1639552,47
48,0.36916867,-0.42552945,0.61311126,-0.97062874,2.8518898,-2.1183736,-1.691778,-0.19438563,48
49,0.39341515,-0.37360737,0.63614845,-0.9665253,2.8518898,-2.1056595,-1.6790174,-0.18284304,49
50,0.32358518,-0.3228791,0.6117111,-0.94594926,2.8518898,-2.1183736,-1.6790174,-0.15765947,50
51,0.29739922,-0.28707054,0.59573466,-0.89390194,2.8518898,-2.1111083,-1.6738957,-0.1765473,51
52,0.31000718,-0.36584905,0.572234,-0.8905443,2.8518898,-2.1546993,-1.6738957,-0.20278037,52
53,0.32552522,-0.36465526,0.60267967,-0.923986,2.8518898,-2.1692297,-1.6764475,-0.22691506,53
54,0.2818812,-0.4601442,0.6200759,-0.94181675,2.8518898,-2.1801274,-1.7019688,-0.2678386,54
55,0.26636374,-0.42135182,0.62077135,-0.9169074,2.8518898,-2.216453,-1.7146565,-0.25000027,55
56,0.23726773,-0.40344757,0.6326521,-0.93145686,2.8518898,-2.1701376,-1.707055,-0.27623332,56
57,0.23241878,-0.31989458,0.6263542,-0.96447784,2.8518898,-2.268217,-1.7222773,-0.2552465,57
58,0.21593073,-0.2715539,0.6256587,-0.9293815,2.8518898,-2.3018184,-1.7247937,-0.25209862,58
59,0.23435825,-0.26319796,0.62426776,-0.9210685,2.8518898,-2.3508584,-1.742496,-0.29512113,59
60,0.28479126,-0.22440633,0.6375492,-0.84525055,2.8518898,-2.2772985,-1.7374462,-0.2783317,60
61,0.30903774,-0.14085332,0.6642567,-0.84311754,2.8518898,-2.3172572,-1.7323952,-0.27098647,61
62,0.3216457,-0.23932607,0.6713076,-0.88549376,2.8527694,-2.356307,-1.7349116,-0.28357854,62
63,0.3643197,-0.21545419,0.6946828,-0.8652239,2.8527694,-2.3644805,-1.7273272,-0.29197267,63
64,0.42639068,-0.17964566,0.6868782,-0.88128483,2.8518898,-2.3454096,-1.7045022,-0.27098647,64
65,0.40796316,-0.17964566,0.6776729,-0.85801136,2.8518898,-2.3118083,-1.6943297,-0.2793812,65
