model_type,seq_len,pred_len,n_heads,dropout,d_model,enc_layers,name,model_smape,naive_smape,beats_naive
informer,48,24,3,0.1,60,2,informer_s48_p24_h3_k23_d0.1,0.0867525528856488,1.852614164352417,True
informer,48,96,3,0.1,60,2,informer_s48_p96_h3_k23_d0.1,0.1499476935236882,1.7261450290679932,True
informer,48,199,3,0.1,60,2,informer_s48_p199_h3_k23_d0.1,0.2520917405684789,1.6239043474197388,True
informer,48,366,3,0.1,60,2,informer_s48_p366_h3_k23_d0.1,0.3090854293920777,1.4468662738800049,True
informer,96,24,3,0.1,60,2,informer_s96_p24_h3_k23_d0.1,0.0853834953159093,1.8576136827468872,True
informer,96,96,3,0.1,60,2,informer_s96_p96_h3_k23_d0.1,0.1590782091435459,1.748656988143921,True
informer,96,199,3,0.1,60,2,informer_s96_p199_h3_k23_d0.1,0.2056111946702003,1.657231330871582,True
informer,96,366,3,0.1,60,2,informer_s96_p366_h3_k23_d0.1,0.2525367862299869,1.5108933448791504,True
informer,192,24,3,0.1,60,2,informer_s192_p24_h3_k23_d0.1,0.0947840872275478,1.8641020059585571,True
informer,192,96,3,0.1,60,2,informer_s192_p96_h3_k23_d0.1,0.1667056525746981,1.7523269653320312,True
informer,192,199,3,0.1,60,2,informer_s192_p199_h3_k23_d0.1,0.2082567922770977,1.6775708198547363,True
informer,192,366,3,0.1,60,2,informer_s192_p366_h3_k23_d0.1,0.2664113090588496,1.568936467170715,True
informer,256,24,3,0.1,60,2,informer_s256_p24_h3_k23_d0.1,0.1059548469881216,1.859617829322815,True
informer,256,96,3,0.1,60,2,informer_s256_p96_h3_k23_d0.1,0.1640896811508215,1.751846194267273,True
informer,256,199,3,0.1,60,2,informer_s256_p199_h3_k23_d0.1,0.2166490323841571,1.7080833911895752,True
informer,256,366,3,0.1,60,2,informer_s256_p366_h3_k23_d0.1,0.2764555629756715,1.614762544631958,True
autoformer,48,24,3,0.1,60,2,autoformer_s48_p24_h3_k23_d0.1,0.0859329039447529,1.852614164352417,True
autoformer,48,96,3,0.1,60,2,autoformer_s48_p96_h3_k23_d0.1,0.1446454809644283,1.7261450290679932,True
autoformer,48,199,3,0.1,60,2,autoformer_s48_p199_h3_k23_d0.1,0.183423124479525,1.6239043474197388,True
